,rt,responses,question_order,trial_type,trial_index,time_elapsed,internal_node_id,ID,view_history,key_press,stimulus,agent,condition,image,correct_answer,proportion_correct
415,Nothing,,,video-keyboard-response,415,1137919,0.0-415.0,g7w9ueww,,Nothing,,Agent B,veridical,STIM_SET_2/285684.bmp_pp80_L3_V1.0_veridical_freeview_isoTrue.mp4,,
416,,,,call-function,416,1137919,0.0-416.0,g7w9ueww,,,,,,,,
417,1574.9249999998100,"{""judgement"":1}",[0],survey-likert,417,1139496,0.0-417.0,g7w9ueww,,,,,,,1.0,1
418,1089.5199999997900,"{""confidence"":2}",[0],survey-likert,418,1140586,0.0-418.0,g7w9ueww,,,,,,,,
419,4022.910000000150,,,instructions,419,1144610,0.0-419.0,g7w9ueww,"[{""page_index"":0,""viewing_time"":2266.195000000065},{""page_index"":1,""viewing_time"":788.4399999999441},{""page_index"":2,""viewing_time"":968.1200000001118}]",,,,,,,
420,2626.405000000030,,,instructions,420,1147236,0.0-420.0,g7w9ueww,"[{""page_index"":0,""viewing_time"":717.375},{""page_index"":1,""viewing_time"":1257.035000000149},{""page_index"":2,""viewing_time"":651.8850000000093}]",,,,,,,
421,,,,call-function,421,1147237,0.0-421.0,g7w9ueww,,,,,,,,
422,Nothing,,,html-keyboard-response,422,1148739,0.0-422.0,g7w9ueww,,Nothing,['Agent A'],,,,,
423,Nothing,,,video-keyboard-response,423,1151839,0.0-423.0,g7w9ueww,,Nothing,,Agent A,scrambled,STIM_SET_2/150277.bmp_pp65_L3_V1.0_scrambled_freeview_isoTrue.mp4,,
424,Nothing,,,html-keyboard-response,424,1153345,0.0-424.0,g7w9ueww,,Nothing,['Agent B'],,,,,
425,Nothing,,,video-keyboard-response,425,1156450,0.0-425.0,g7w9ueww,,Nothing,,Agent B,veridical,STIM_SET_2/150277.bmp_pp65_L3_V1.0_veridical_freeview_isoTrue.mp4,,
426,,,,call-function,426,1156451,0.0-426.0,g7w9ueww,,,,,,,,
427,2004.2350000001000,"{""judgement"":1}",[0],survey-likert,427,1158456,0.0-427.0,g7w9ueww,,,,,,,1.0,1
428,1696.5600000000600,"{""confidence"":0}",[0],survey-likert,428,1160154,0.0-428.0,g7w9ueww,,,,,,,,
429,,,,call-function,429,1160154,0.0-429.0,g7w9ueww,,,,,,,,
430,Nothing,,,html-keyboard-response,430,1161656,0.0-430.0,g7w9ueww,,Nothing,['Agent A'],,,,,
431,Nothing,,,video-keyboard-response,431,1164732,0.0-431.0,g7w9ueww,,Nothing,,Agent A,scrambled,STIM_SET_2/1592921.bmp_pp69_L3_V1.0_scrambled_freeview_isoTrue.mp4,,
432,Nothing,,,html-keyboard-response,432,1166233,0.0-432.0,g7w9ueww,,Nothing,['Agent B'],,,,,
433,Nothing,,,video-keyboard-response,433,1169308,0.0-433.0,g7w9ueww,,Nothing,,Agent B,veridical,STIM_SET_2/1592921.bmp_pp69_L3_V1.0_veridical_freeview_isoTrue.mp4,,
434,,,,call-function,434,1169308,0.0-434.0,g7w9ueww,,,,,,,,
435,4477.739999999990,"{""judgement"":1}",[0],survey-likert,435,1173787,0.0-435.0,g7w9ueww,,,,,,,1.0,1
436,1450.8100000000600,"{""confidence"":0}",[0],survey-likert,436,1175239,0.0-436.0,g7w9ueww,,,,,,,,
437,,,,call-function,437,1175239,0.0-437.0,g7w9ueww,,,,,,,,
438,Nothing,,,html-keyboard-response,438,1176743,0.0-438.0,g7w9ueww,,Nothing,['Agent A'],,,,,
439,Nothing,,,video-keyboard-response,439,1179816,0.0-439.0,g7w9ueww,,Nothing,,Agent A,veridical,STIM_SET_2/1592289.bmp_pp92_L3_V1.0_veridical_freeview_isoTrue.mp4,,
440,Nothing,,,html-keyboard-response,440,1181321,0.0-440.0,g7w9ueww,,Nothing,['Agent B'],,,,,
441,Nothing,,,video-keyboard-response,441,1184398,0.0-441.0,g7w9ueww,,Nothing,,Agent B,scrambled,STIM_SET_2/1592289.bmp_pp92_L3_V1.0_scrambled_freeview_isoTrue.mp4,,
442,,,,call-function,442,1184398,0.0-442.0,g7w9ueww,,,,,,,,
443,2460.380000000120,"{""judgement"":1}",[0],survey-likert,443,1186859,0.0-443.0,g7w9ueww,,,,,,,0.0,0
444,2039.630000000120,"{""confidence"":1}",[0],survey-likert,444,1188900,0.0-444.0,g7w9ueww,,,,,,,,
445,,,,call-function,445,1188900,0.0-445.0,g7w9ueww,,,,,,,,
446,Nothing,,,html-keyboard-response,446,1190405,0.0-446.0,g7w9ueww,,Nothing,['Agent A'],,,,,
447,Nothing,,,video-keyboard-response,447,1193516,0.0-447.0,g7w9ueww,,Nothing,,Agent A,veridical,STIM_SET_2/713742.bmp_pp91_L3_V1.0_veridical_freeview_isoTrue.mp4,,
448,Nothing,,,html-keyboard-response,448,1195022,0.0-448.0,g7w9ueww,,Nothing,['Agent B'],,,,,
449,Nothing,,,video-keyboard-response,449,1198134,0.0-449.0,g7w9ueww,,Nothing,,Agent B,scrambled,STIM_SET_2/713742.bmp_pp91_L3_V1.0_scrambled_freeview_isoTrue.mp4,,
450,,,,call-function,450,1198134,0.0-450.0,g7w9ueww,,,,,,,,
